,filename,label,labels_crops
25,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b38eb36dcc314c9336c3934cc31c64339cf3cd9c664d31667192c67998676996768X512.jpg,blouses,"[605, 871, 1440, 2119]"
26,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/e132333397c9cccc785c387825a36733da59cccc8ccc3ce163336332933bcccd768X512.jpg,shirts,"[221, 871, 1860, 2237]"
27,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/e132333397c9cccc785c387825a36733da59cccc8ccc3ce163336332933bcccd768X512.jpg,shirts,"[221, 871, 1860, 2237]"
28,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b0c3cc26cf3c32d930c3cd2ecdb330f3c72c630c6cd398f331e6671ccf1898c3768X512.jpg,blouses,"[568, 952, 1462, 2075]"
29,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/e76365999296966e49499b31ccc46da39cdb93b269912c6db6f461cc614996cc768X512.jpg,blouses,"[420, 273, 1609, 1964]"
30,/media/train_hdd4/tarun/dali/testdata/topstyle/tshirts/ec63636c929c9c936d2b636434f29c9bcb0969c93676362661c3d9d9991c6527768X512.jpg,tshirts,"[347, 967, 1735, 2134]"
31,/media/train_hdd4/tarun/dali/testdata/topstyle/tshirts/ec63636c929c9c936d2b636434f29c9bcb0969c93676362661c3d9d9991c6527768X512.jpg,tshirts,"[347, 967, 1735, 2134]"
32,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b0e3964dcf1c4db098c9338731e636796631c70cc75b38f3c98631b79ccc661c768X512.jpg,blouses,"[509, 738, 1528, 2377]"
33,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b3ccb196432cce734c73cd334cb38cd9ccd3679ca6cc66cc8ccc4cccb18c338c768X512.jpg,blouses,"[605, 664, 1395, 1432]"
34,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b3ccb196432cce734c73cd334cb38cd9ccd3679ca6cc66cc8ccc4cccb18c338c768X512.jpg,blouses,"[605, 664, 1395, 1432]"
35,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/e9e1e16a96be1e95785ac1e827a56416861e06f8f84999e539a5791e87966693768X512.jpg,shirts,"[162, 613, 1840, 2409]"
36,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/bbc4e433c43e1bcccd1bb03d36e1c613310e4e39cdcc38ccce7333323331c63b768X512.jpg,shirts,"[118, 797, 1905, 2326]"
37,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/bbc4e433c43e1bcccd1bb03d36e1c613310e4e39cdcc38ccce7333323331c63b768X512.jpg,shirts,"[118, 797, 1905, 2326]"
38,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/bbc4e433c43e1bcccd1bb03d36e1c613310e4e39cdcc38ccce7333323331c63b768X512.jpg,shirts,"[118, 797, 1905, 2326]"
39,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/e96667a4869b585b79e195a46d1e67a1864b3a5ad9e59861793a6594e68c784a768X512.jpg,shirts,"[398, 664, 1676, 2215]"
40,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/e96667a4869b585b79e195a46d1e67a1864b3a5ad9e59861793a6594e68c784a768X512.jpg,shirts,"[398, 664, 1676, 2215]"
41,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/b913e1acc6c61e53c92df0f436d2c72f931b1a48cc2d38d3990ce58f36d3c32c768X512.jpg,shirts,"[307, 102, 2048, 1946]"
42,/media/train_hdd4/tarun/dali/testdata/topstyle/sweatshirt/eb4465ae96a51e503c7ac0e96be16587c2960f5ab078dae19d6970b54fc2a51e768X512.jpg,sweatshirt,"[177, 576, 1868, 2577]"
43,/media/train_hdd4/tarun/dali/testdata/topstyle/tshirts/b0cfcf3ccf3230c33364c31c30dbccf0992593cbc630316667cecf18997164e7768X512.jpg,tshirts,"[214, 546, 1831, 2436]"
44,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/e4f133669b1eccb9996cccc66493339b66cf36649324c6669999899b18e63998768X512.jpg,blouses,"[450, 531, 1595, 2451]"
45,/media/train_hdd4/tarun/dali/testdata/topstyle/tshirts/b921b43ec6de4bd3954f9fac7830b45a4b87703396da4b87e1698edc69242470768X512.jpg,tshirts,"[155, 524, 1875, 2555]"
46,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/ebe5e51a869a1a85385ae17a67a5e607d25e1af89c3849e54bc7f41226b4961b768X512.jpg,shirts,"[140, 723, 1934, 2385]"
47,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/ebe5e51a869a1a85385ae17a67a5e607d25e1af89c3849e54bc7f41226b4961b768X512.jpg,shirts,"[132, 716, 1927, 2385]"
